base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 54, sub group 40, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C)C)C)CC):c(C(C(C(C)C)C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)CC):c(C(C(C(C)C)C)CC):c:c:c1
base structure 54, sub group 41, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCC):c(CCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCC):c(CCCCCCCCC):c:c:c1
base structure 54, sub group 42, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C)C)C)C(C)C):c(C(C(C(C)C)C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)C(C)C):c(C(C(C(C)C)C)C(C)C):c:c:c1
base structure 54, sub group 43, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCC):c(CCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCC):c(CCCCCCCCCC):c:c:c1
base structure 54, sub group 44, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(CC)C)C)C(C)C):c(C(C(C(CC)C)C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)C):c(C(C(C(CC)C)C)C(C)C):c:c:c1
base structure 54, sub group 45, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCC):c(CCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCC):c(CCCCCCCCCCC):c:c:c1
base structure 54, sub group 46, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(CC)C)C)C(C)CC):c(C(C(C(CC)C)C)C(C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)CC):c(C(C(C(CC)C)C)C(C)CC):c:c:c1
base structure 54, sub group 47, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCC):c(CCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCC):c(CCCCCCCCCCCC):c:c:c1
base structure 54, sub group 48, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)CC):c(C(C(C(C(C)C)C)C)C(C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)CC):c(C(C(C(C(C)C)C)C)C(C)CC):c:c:c1
base structure 54, sub group 49, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCC):c(CCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCC):c(CCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 50, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c:c1
base structure 54, sub group 51, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCC):c(CCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCC):c(CCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 52, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c:c1
base structure 54, sub group 53, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 54, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c:c1
base structure 54, sub group 55, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 56, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c:c1
base structure 54, sub group 57, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 58, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c:c1
base structure 54, sub group 59, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 60, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c:c1
base structure 54, sub group 61, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 62, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c:c:c1
base structure 54, sub group 63, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCCCC):c(CCCCCCCCCCCCCCCCCCCC):c:c:c1
base structure 54, sub group 64, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c:c:c1
base structure 55, sub group 1, [F]c:1:c(:c:c:c([F]):c1)[P+]1(c:2:c([F]):c:c([F]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 2, [Cl]c:1:c(:c:c:c([Cl]):c1)[P+]1(c:2:c([Cl]):c:c([Cl]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 3, [Br]c:1:c(:c:c:c([Br]):c1)[P+]1(c:2:c([Br]):c:c([Br]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 4, [I]c:1:c(:c:c:c([I]):c1)[P+]1(c:2:c([I]):c:c([I]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 5, Nc:1:c(:c:c:c(N):c1)[P+]1(c:2:c(N):c:c(N):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 6, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(SC):c:c(SC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(SC):c:c(SC):c:c1
base structure 55, sub group 7, Sc:1:c(:c:c:c(S):c1)[P+]1(c:2:c(S):c:c(S):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 8, [PH3]c:1:c(:c:c:c([PH3]):c1)[P+]1(c:2:c([PH3]):c:c([PH3]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 9, [O][N](=O)c:1:c(:c:c:c([N](=O)[O]):c1)[P+]1(c:2:c([N](=O)[O]):c:c([N](=O)[O]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 10, [O][S](=O)([O])c:1:c(:c:c:c([S](=O)([O])[O]):c1)[P+]1(c:2:c([S](=O)([O])[O]):c:c([S](=O)([O])[O]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 11, [F]C([F])([F])c:1:c(:c:c:c(C([F])([F])[F]):c1)[P+]1(c:2:c(C([F])([F])[F]):c:c(C([F])([F])[F]):c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 55, sub group 12, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(c:4:c:c:c:c:c4):c:c(c:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(c:2:c:c:c:c:c2):c:c(c:2:c:c:c:c:c2):c:c1
base structure 55, sub group 13, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(Cc:4:c:c:c:c:c4):c:c(Cc:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(Cc:2:c:c:c:c:c2):c:c(Cc:2:c:c:c:c:c2):c:c1
base structure 55, sub group 14, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(c:4:c:c:c:c:c4)C):c:c(C(c:4:c:c:c:c:c4)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(c:2:c:c:c:c:c2)C):c:c(C(c:2:c:c:c:c:c2)C):c:c1
base structure 55, sub group 15, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCc:4:c:c:c:c:c4):c:c(CCc:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCc:2:c:c:c:c:c2):c:c(CCc:2:c:c:c:c:c2):c:c1
base structure 55, sub group 16, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c1
base structure 55, sub group 17, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c(CC(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c(CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c1
base structure 55, sub group 18, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c(C(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c(C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c1
base structure 55, sub group 19, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C4CCCCC4):c:c(C4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C2CCCCC2):c:c(C2CCCCC2):c:c1
base structure 55, sub group 20, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC4CCCCC4):c:c(CC4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC2CCCCC2):c:c(CC2CCCCC2):c:c1
base structure 55, sub group 21, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C4CCCCC4)C):c:c(C(C4CCCCC4)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C2CCCCC2)C):c:c(C(C2CCCCC2)C):c:c1
base structure 55, sub group 22, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCC4CCCCC4):c:c(CCC4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCC2CCCCC2):c:c(CCC2CCCCC2):c:c1
base structure 55, sub group 23, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C4CCCCC4)C4CCCCC4):c:c(C(C4CCCCC4)C4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C2CCCCC2)C2CCCCC2):c:c(C(C2CCCCC2)C2CCCCC2):c:c1
base structure 55, sub group 24, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(C4CCCCC4)C4CCCCC4):c:c(CC(C4CCCCC4)C4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C2CCCCC2)C2CCCCC2):c:c(CC(C2CCCCC2)C2CCCCC2):c:c1
base structure 55, sub group 25, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c:c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c:c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c:c1
base structure 55, sub group 26, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C):c:c(C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C):c:c(C):c:c1
base structure 55, sub group 27, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC):c:c(CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC):c:c(CC):c:c1
base structure 55, sub group 28, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C)C):c:c(C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)C):c:c(C(C)C):c:c1
base structure 55, sub group 29, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCC):c:c(CCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCC):c:c(CCC):c:c1
base structure 55, sub group 30, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCC):c:c(CCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCC):c:c(CCCC):c:c1
base structure 55, sub group 31, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(C)C):c:c(CC(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C)C):c:c(CC(C)C):c:c1
base structure 55, sub group 32, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C)(C)C):c:c(C(C)(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)(C)C):c:c(C(C)(C)C):c:c1
base structure 55, sub group 33, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCC):c:c(CCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCC):c:c(CCCCC):c:c1
base structure 55, sub group 34, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C)C)C):c:c(C(C(C)C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C)C)C):c:c(C(C(C)C)C):c:c1
base structure 55, sub group 35, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCC):c:c(CCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCC):c:c(CCCCCC):c:c1
base structure 55, sub group 36, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(CC)C)C):c:c(C(C(CC)C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)C):c:c(C(C(CC)C)C):c:c1
base structure 55, sub group 37, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCC):c:c(CCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCC):c:c(CCCCCCC):c:c1
base structure 55, sub group 38, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(CC)C)CC):c:c(C(C(CC)C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)CC):c:c(C(C(CC)C)CC):c:c1
base structure 55, sub group 39, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCC):c:c(CCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCC):c:c(CCCCCCCC):c:c1
base structure 55, sub group 40, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C)C)C)CC):c:c(C(C(C(C)C)C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)CC):c:c(C(C(C(C)C)C)CC):c:c1
base structure 55, sub group 41, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCC):c:c(CCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCC):c:c(CCCCCCCCC):c:c1
base structure 55, sub group 42, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C)C)C)C(C)C):c:c(C(C(C(C)C)C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)C(C)C):c:c(C(C(C(C)C)C)C(C)C):c:c1
base structure 55, sub group 43, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCC):c:c(CCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCC):c:c(CCCCCCCCCC):c:c1
base structure 55, sub group 44, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(CC)C)C)C(C)C):c:c(C(C(C(CC)C)C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)C):c:c(C(C(C(CC)C)C)C(C)C):c:c1
base structure 55, sub group 45, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCC):c:c(CCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCC):c:c(CCCCCCCCCCC):c:c1
base structure 55, sub group 46, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(CC)C)C)C(C)CC):c:c(C(C(C(CC)C)C)C(C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)CC):c:c(C(C(C(CC)C)C)C(C)CC):c:c1
base structure 55, sub group 47, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCC):c:c(CCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCC):c:c(CCCCCCCCCCCC):c:c1
base structure 55, sub group 48, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)CC):c:c(C(C(C(C(C)C)C)C)C(C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)CC):c:c(C(C(C(C(C)C)C)C)C(C)CC):c:c1
base structure 55, sub group 49, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCC):c:c(CCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCC):c:c(CCCCCCCCCCCCC):c:c1
base structure 55, sub group 50, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c1
base structure 55, sub group 51, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCC):c:c1
base structure 55, sub group 52, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c1
base structure 55, sub group 53, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCC):c:c1
base structure 55, sub group 54, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c1
base structure 55, sub group 55, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCC):c:c1
base structure 55, sub group 56, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c1
base structure 55, sub group 57, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCCC):c:c1
base structure 55, sub group 58, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c1
base structure 55, sub group 59, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCCCC):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCC):c:c(CCCCCCCCCCCCCCCCCC):c:c1
base structure 55, sub group 60, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c1
